id,name,occupation,contained_in_original_file
1,Автономная некоммерческая организация Краснодарский центр современного искусства «Типография»,,no
2,Красноярская региональная общественная организация поддержки и развития альтернативных образовательных технологий и межкультурных коммуникаций «Интерра»,,no
3,Автономная некоммерческая организация для издания научно-популярной газеты «Троицкий вариант — Наука»,,no
4,Благотворительный фонд развития филантропии «КАФ»,,no
5,Автономная некоммерческая экологическая организация «Друзья Балтики»,,no
6,Региональная национально-культурная общественная организация «Туба калык» (Тубалары),,no
7,Автономная некоммерческая организация по реализации социально-правовых программ «Лилит»,,no
8,"Ассоциация по содействию защите прав призывников альтернативнослужащих и военнослужащих «Правозащитная группа „Гражданин.Армия.Право""»",,no
9,Автономная некоммерческая организация «Нижегородский центр немецкой и европейской культуры»,,no
10,Ивановская областная общественная организация «Центр гендерных исследований»,,no
11,"Некоммерческая организация «Фонд защиты прав граждан „Штаб""»",,no
12,Автономная некоммерческая организация «Институт права и публичной политики»,,no
13,Некоммерческая организация «Фонд борьбы с коррупцией»,,no
14,Межрегиональный профессиональный союз работников здравоохранения «Альянс врачей»,,no
15,"Автономная некоммерческая организация «Центр по работе с проблемой насилия „Насилию.нет""»",,no
16,Красноярская региональная общественная организация «Мы против СПИДа»,,no
17,Программно-целевой благотворительный фонд «Свеча»,,no
18,Санкт-Петербургский благотворительный фонд «Гуманитарное действие»,,no
19,Межрегиональная общественная организация реализации социально-просветительских инициатив и образовательных проектов «Открытый Петербург»,,no
20,Фонд содействия правовому просвещению населения «Лига избирателей»,,no
21,Некоммерческая Организация Фонд «Правовая инициатива»,,no
22,Некоммерческая организация «Фонд борьбы с коррупцией»,,no
23,Пензенский региональный общественный благотворительный фонд «Гражданский Союз»,,no
24,"Общественная организация «Саратовский областной еврейский благотворительный Центр „Хасдей Ерушалаим""» (Милосердие)",,no
25,Частное учреждение «Центр поддержки и содействия развитию средств массовой информации»,,no
26,Региональная общественная организация содействия соблюдению прав человека «Горячая Линия»,,no
27,Фонд «В защиту прав заключённых»,,no
28,Автономная некоммерческая организация «Институт глобализации и социальных движений»,,no
29,"Автономная некоммерческая организация противодействия эпидемии вич/спида и охраны здоровья социально-уязвимых групп населения «Центр социально-информационных инициатив „Действие""»",,no
30,Благотворительный фонд охраны здоровья и защиты прав граждан,,no
31,Благотворительный фонд помощи осуждённым и их семьям,,no
32,Городской благотворительный фонд «Фонд Тольятти»,,no
33,Свердловский региональный общественный фонд социальных проектов «Новое время»,,no
34,Фонд содействия устойчивому развитию «Серебряная тайга»,,no
35,Фонд содействия развитию массовых коммуникаций и правовому просвещению «Так-Так-Так»,,no
36,"Региональная общественная организация содействия просвещению граждан «Информационно-аналитический центр „Сова""»",,no
37,Региональная общественная организация помощи женщинам и детям находящимся в кризисной ситуации «Информационно-методический центр Анна»,,no
38,Автономная некоммерческая организация социальной поддержки населения «Проект Апрель»,,no
39,Региональный благотворительный фонд «Самарская губерния»,,no
40,Свердловский областной общественный фонд «Эра здоровья»,,no
41,"Международная общественная организация «Международное историко-просветительское благотворительное и правозащитное общество „Мемориал""»",,no
42,Автономная некоммерческая организация «Аналитический Центр Юрия Левады»,,no
43,"Автономная некоммерческая организация «Издательство „Парк Гагарина""»",,no
44,Фонд содействия защите здоровья и социальной справедливости имени Андрея Рылькова,,no
45,Благотворительный фонд социально-правовой помощи «Сфера»,,no
46,"Омская региональная общественная организация «Центр охраны здоровья и социальной защиты „Сибальт""»",,no
47,Челябинский региональный орган общественной самодеятельности «Уральская правозащитная группа»,,no
48,Челябинский региональный орган общественной самодеятельности — женское общественное объединение «Женщины Евразии»,,no
49,"Городская общественная организация «Рязанское историко-просветительское и правозащитное общество „Мемориал"" (Рязанский Мемориал)»",,no
50,"Городская общественная организация «Екатеринбургское общество „Мемориал""»",,no
51,Автономная некоммерческая организация «Институт прав человека»,,no
52,Некоммерческая организация «Фонд защиты гласности»,,no
53,Региональное общественное учреждение научно-информационный центр «Мемориал»,,no
54,Союз общественных объединений «Российский исследовательский центр по правам человека»,,no
55,Автономная некоммерческая организация «Дальневосточный центр развития гражданских инициатив и социального партнёрства»,,no
56,Фонд «Гражданское действие»,,no
57,Автономная некоммерческая организация «Центр независимых социологических исследований»,,no
58,Свердловская региональная общественная организация «Сутяжник»,,no
59,Негосударственное образовательное учреждение дополнительного профессионального образования (повышение квалификации) специалистов «Академия по правам человека»,,no
60,Частное учреждение в Калининграде по административной поддержке реализации программ и проектов Совета Министров северных стран,,no
61,Межрегиональная благотворительная общественная организация «Центр развития некоммерческих организаций»,,no
62,Региональная общественная благотворительная организация помощи беженцам и мигрантам «Гражданское содействие»,,no
63,"Автономная некоммерческая организация «Центр антикоррупционных исследований и инициатив „Трансперенси Интернешнл-Р""»",,no
64,Региональный фонд «Центр защиты прав средств массовой информации»,,no
65,Некоммерческое партнёрство «Институт развития прессы — Сибирь»,,no
66,«Частное учреждение в Санкт-Петербурге по административной поддержке реализации программ и проектов Совета Министров Северных Стран»,,no
67,Межрегиональная общественная организация Информационно-просветительский центр «Мемориал»,,no
68,Фонд поддержки свободы прессы,,no
69,Санкт-Петербургская общественная правозащитная организация «Гражданский контроль»,,no
70,Межрегиональная общественная правозащитная организация «Человек и Закон»,,no
71,Региональная общественная организация «Общественная комиссия по сохранению наследия академика Сахарова»,,no
72,Частное учреждение «Информационное агентство Мемо.ру»,,no
73,Некоммерческое партнерство «Институт региональной прессы»,,no
74,Фонд «Институт развития свободы информации»,,no
75,Межрегиональная общественная организация Правозащитный Центр «Мемориал»,,no
76,Калининградская региональная общественная организация «Экозащита!-Женсовет»,,no
77,Фонд содействия защите прав и свобод граждан «Общественный вердикт»,,no
78,Евразийская антимонопольная ассоциация,,no
79,Томская региональная общественная организация по защите прав и интересов женщин «Женский голос»,,no
80,Голос Америки,,no
81,Idel.Реалии,,no
82,Кавказ.Реалии,,no
83,Крым.Реалии,,no
84,Телеканал Настоящее Время,,no
85,Татаро-башкирская служба Радио Свобода (Azatliq Radiosi),,no
86,«Радио Свободная Европа/Радио Свобода» (PCE/PC),,no
87,Сибирь.Реалии,,no
88,Фактограф,,no
89,Север.Реалии,,no
90,Общество с ограниченной ответственностью «Радио Свободная Европа/Радио Свобода»,,no
91,Чешское информационное агентство «MEDIUM-ORIENT»,,no
92,Meduza,,no
93,ООО «Первое антикоррупционное СМИ»,,no
94,Интернет-ресурс VTimes,,no
95,The Insider,,no
96,Общество с ограниченной ответственностью Телеканал Дождь,,no
97,Юридическое лицо Istories fonds,,no
98,Общество с ограниченной ответственностью «Альтаир 2021»,,no
99,Общество с ограниченной ответственностью «Ромашки монолит»,,no
100,Общество с ограниченной ответственностью «Главный редактор 2021»,,no
101,Общество с ограниченной ответственностью «Вега 2021»,,no
102,Общество с ограниченной ответственностью «Важные иноагенты»,,no
103,Общество с ограниченной ответственностью «ЗП»,,no
104,Общество с ограниченной ответственностью «Зона права»,,no
105,Общество с ограниченной ответственностью «ЖУРНАЛИСТ-ИНОСТРАННЫЙ АГЕНТ»,,no
106,Общество с ограниченной ответственностью «Мемо»,,no
107,Американская компания «Mason G.E.S. Anonymous Foundation»,,no
108,Компания «Stichting Bellingcat»,,no
109,Автономная некоммерческая организация по защите прав человека и информированию населения «Якутия — Наше Мнение»,,no
110,Общество с ограниченной ответственностью «Москоу диджитал медиа»,,no
111,Акционерное общество «РС-Балт»,,no
112,Общество с ограниченной ответственностью «Как бы инагент»,,no
113,Фонд развития книжной культуры «Иркутский союз библиофилов»,,no
114,Общество с ограниченной ответственностью «Честные выборы»,,no
115,Общество с ограниченной ответственностью «Нобелевский призыв»,,no
116,Общество с ограниченной ответственностью «Данное сообщение»,,no
117,Общество с ограниченной ответственностью «Номер семьдесят семь»,,no
118,Общество с ограниченной ответственностью «ЛПНМ»,,no
119,Общество с ограниченной ответственностью Издательский дом «Новая глава»,,no
120,Общество с ограниченной ответственностью «Новогодний выпуск»,,no
121,Общество с ограниченной ответственностью «Процесс 2021»,,no
122,Deutsche Welle,,no
123,Общество с ограниченной ответственностью «Апология»,,no
124,Общество с ограниченной ответственностью «Лиза норм»,,no
125,Общество с ограниченной ответственностью «Апрельские тезисы»,,no
126,Общество с ограниченной ответственностью «Первый научный»,,no
127,Общество с ограниченной ответственностью «Вертолёт и КО»,,no
128,Общество с ограниченной ответственностью «Иноагент ААВ»,,no
129,Общество с ограниченной ответственностью «Новости»,,no
130,Общество с ограниченной ответственностью «Время колокольчиков»,,no
131,Общество с ограниченной ответственностью «Вольные люди»,,no
132,Общество с ограниченной ответственностью «Иновещание»,,no
133,Общество с ограниченной ответственностью «Букмейт Лимитед»,,no
134,Московский региональный общественный благотворительный фонд «Социальное партнёрство»,,no
135,Общество с ограниченной ответственностью «Город без преград»,,no
136,Пономарёв Лев Александрович,правозащитник,yes
137,Савицкая Людмила Алексеевна,журналистка Радио «Свобода»,yes
138,Маркелов Сергей Евгеньевич,журналист «7x7»,yes
139,Камалягин Денис Николаевич,главный редактор «Псковской губернии»,yes
140,Апахончич Дарья Александровна,художница-акционистка,yes
141,Баданин Роман Сергеевич,главный редактор «Проекта»,yes
142,Гликин Максим Александрович,журналист «Открытых медиа»,yes
143,Маняхин Пётр Борисович,журналист «Проекта»,yes
144,Ярош Юлия Петровна,журналистка «Открытых медиа»,yes
145,Чуракова Ольга Владимировна,журналистка «Проекта»,yes
146,Железнова Мария Михайловна,журналистка «Проекта»,yes
147,Лукьянова Юлия Сергеевна,журналистка «Проекта»,yes
148,Маетная Елизавета Витальевна,журналистка Радио «Свобода»,yes
149,Рубин Михаил Аркадьевич,журналист «Проекта»,yes
150,Гройсман Софья Романовна,журналистка «Проекта»,yes
151,Рождественский Илья Дмитриевич,журналист «Открытых медиа»,yes
152,Апухтина Юлия Владимировна,журналистка «Проекта»,yes
153,Постернак Алексей Евгеньевич,журналист Радио «Свобода»,yes
154,Петров Степан Юрьевич,руководитель общественного движения «Якутия — Наше Мнение»,yes
155,Шмагун Олеся Валентиновна,журналистка «Важных историй»,yes
156,Мароховская Алеся Алексеевна,журналистка «Важных историй»,yes
157,Долинина Ирина Николаевна,журналистка «Важных историй»,yes
158,Шлейнов Роман Юрьевич,журналист «Важных историй»,yes
159,Анин Роман Александрович,главный редактор «Важных историй»,yes
160,Великовский Дмитрий Александрович,журналист «Важных историй»,yes
161,Каткова Вероника Вячеславовна,координатор движения «Голос»,yes
162,Карезина Инна Павловна,координатор движения «Голос»,yes
163,Кузьмина Людмила Гавриловна,координатор движения «Голос»,yes
164,Костылева Полина Владимировна,координатор движения «Голос»,yes
165,Лютов Александр Иванович,координатор движения «Голос»,yes
166,Жилкин Владимир Владимирович,координатор движения «Голос»,yes
167,Жилинский Владимир Александрович,координатор движения «Голос»,yes
168,Тихонов Михаил Сергеевич,координатор движения «Голос»,yes
169,Пискунов Сергей Евгеньевич,координатор движения «Голос»,yes
170,Ковин Виталий Сергеевич,член совета «Голос»,yes
171,Кильтау Екатерина Викторовна,координатор движения «Голос»,yes
172,Любарев Аркадий Ефимович,член совета «Голос»,yes
173,Гурман Юрий Альбертович,член совета «Голос»,yes
174,Грезев Александр Викторович,координатор движения «Голос»,yes
175,Важенков Артём Валерьевич,координатор движения «Голос»,yes
176,Иванова София Юрьевна,член совета «Голос»,yes
177,Пигалкин Илья Валерьевич,координатор движения «Голос»,yes
178,Петров Алексей Викторович,координатор движения «Голос»,yes
179,Егоров Владимир Владимирович,координатор движения «Голос»,yes
180,Гусев Андрей Юрьевич,координатор движения «Голос»,yes
181,Смирнов Сергей Сергеевич,главный редактор «Медиазоны»,yes
182,Верзилов Пётр Юрьевич,издатель «Медиазоны»,yes
183,Вольтская Татьяна Анатольевна,журналистка Радио «Свобода»,yes
184,Клепиковская Екатерина Дмитриевна,журналистка Радио «Свобода»,yes
185,Сотников Даниил Владимирович,журналист «Дождя»,yes
186,Захаров Андрей Вячеславович,журналист Би-би-си,yes
187,Симонов Евгений Алексеевич,журналист Радио «Свобода»,yes
188,Сурначева Елизавета Дмитриевна,журналистка «Настоящего времени»,yes
189,Соловьёва Елена Анатольевна,журналистка «Новой газеты»,yes
190,Арапова Галина Юрьевна,директор «Центра защиты прав СМИ»,yes
191,Перл Роман Александрович,журналист «Настоящего времени»,yes
192,Заговора Максим Александрович,"адвокат, сотрудник «Команды 29»",yes
193,Ветошкина Валерия Валерьевна,"адвокат, сотрудница «Команды 29»",yes
194,Павлов Иван Юрьевич,"адвокат, руководитель «Команды 29»",yes
195,Скворцова Елена Сергеевна,"адвокат, сотрудница «Команды 29»",yes
196,Оленичев Максим Владимирович,"адвокат, сотрудник «Команды 29»",yes
197,Кочетков Игорь Викторович,сооснователь «Российской ЛГБТ-сети»,yes
198,Еланчик Олег Александрович,главный редактор «Sota.Vision»,yes
